EPEX 2022	EPEX 2023	EPEX 2024
0.21858	0.13939	0.09214
0.20331	0.13184	0.08800
0.20331	0.13184	0.08800
0.20331	0.13184	0.08800
0.20331	0.13184	0.08800
0.18470	0.12994	0.08657
0.18470	0.12994	0.08657
0.18470	0.12994	0.08657
0.18470	0.12994	0.08657
0.13648	0.12131	0.07987
0.13648	0.12131	0.07987
0.13648	0.12131	0.07987
0.13648	0.12131	0.07987
0.12892	0.09728	0.08408
0.12892	0.09728	0.08408
0.12892	0.09728	0.08408
0.12892	0.09728	0.08408
0.12798	0.09816	0.07982
0.12798	0.09816	0.07982
0.12798	0.09816	0.07982
0.12798	0.09816	0.07982
0.11593	0.09496	0.07676
0.11593	0.09496	0.07676
0.11593	0.09496	0.07676
0.11593	0.09496	0.07676
0.10742	0.08386	0.07346
0.10742	0.08386	0.07346
0.10742	0.08386	0.07346
0.10742	0.08386	0.07346
0.10730	0.07666	0.07186
0.10730	0.07666	0.07186
0.10730	0.07666	0.07186
0.10730	0.07666	0.07186
0.11759	0.06988	0.07208
0.11759	0.06988	0.07208
0.11759	0.06988	0.07208
0.11759	0.06988	0.07208
0.15361	0.07649	0.07490
0.15361	0.07649	0.07490
0.15361	0.07649	0.07490
0.15361	0.07649	0.07490
0.18930	0.09253	0.07769
0.18930	0.09253	0.07769
0.18930	0.09253	0.07769
0.18930	0.09253	0.07769
0.22990	0.10994	0.08179
0.22990	0.10994	0.08179
0.22990	0.10994	0.08179
0.22990	0.10994	0.08179
0.25500	0.11287	0.08486
0.25500	0.11287	0.08486
0.25500	0.11287	0.08486
0.25500	0.11287	0.08486
0.24000	0.10069	0.08714
0.24000	0.10069	0.08714
0.24000	0.10069	0.08714
0.24000	0.10069	0.08714
0.24540	0.08832	0.08913
0.24540	0.08832	0.08913
0.24540	0.08832	0.08913
0.24540	0.08832	0.08913
0.21008	0.08790	0.08866
0.21008	0.08790	0.08866
0.21008	0.08790	0.08866
0.21008	0.08790	0.08866
0.24000	0.07429	0.08481
0.24000	0.07429	0.08481
0.24000	0.07429	0.08481
0.24000	0.07429	0.08481
0.23306	0.09000	0.08434
0.23306	0.09000	0.08434
0.23306	0.09000	0.08434
0.23306	0.09000	0.08434
0.22437	0.08690	0.08801
0.22437	0.08690	0.08801
0.22437	0.08690	0.08801
0.22437	0.08690	0.08801
0.24000	0.09431	0.09342
0.24000	0.09431	0.09342
0.24000	0.09431	0.09342
0.24000	0.09431	0.09342
0.24459	0.09832	0.10177
0.24459	0.09832	0.10177
0.24459	0.09832	0.10177
0.24459	0.09832	0.10177
0.26314	0.10096	0.10485
0.26314	0.10096	0.10485
0.26314	0.10096	0.10485
0.26314	0.10096	0.10485
0.26200	0.09600	0.10355
0.26200	0.09600	0.10355
0.26200	0.09600	0.10355
0.26200	0.09600	0.10355
0.23803	0.08910	0.10050
0.23803	0.08910	0.10050
